year,SP.POP.TOTL
1986,240133000.0
1987,242289000.0
1988,244499000.0
1989,246819000.0
1990,249623000.0
1991,252981000.0
1992,256514000.0
1993,259919000.0
1994,263126000.0
1995,266278000.0
1996,269394000.0
1997,272657000.0
1998,275854000.0
1999,279040000.0
2000,282162411.0
2001,284968955.0
2002,287625193.0
2003,290107933.0
2004,292805298.0
2005,295516599.0
2006,298379912.0
2007,301231207.0
2008,304093966.0
2009,306771529.0
2010,309326085.0
2011,311580009.0
2012,313874218.0
2013,316057727.0
2014,318386421.0
2015,320742673.0
2016,323071342.0
2017,325147121.0
2018,327167434.0
2019,
