year,NY.GDP.MKTP.CD
1986,4579631000000.0
1987,4855215000000.0
1988,5236438000000.0
1989,5641580000000.0
1990,5963144000000.0
1991,6158129000000.0
1992,6520327000000.0
1993,6858559000000.0
1994,7287236000000.0
1995,7639749000000.0
1996,8073122000000.0
1997,8577554463000.0
1998,9062818211000.0
1999,9630664202000.0
2000,10252345464000.0
2001,10581821399000.0
2002,10936419054000.0
2003,11458243878000.0
2004,12213729147000.0
2005,13036640229000.0
2006,13814611414000.0
2007,14451858650000.0
2008,14712844084000.0
2009,14448933025000.0
2010,14992052727000.0
2011,15542581104000.0
2012,16197007349000.0
2013,16784849190000.0
2014,17521746534000.0
2015,18219297584000.0
2016,18707188235000.0
2017,19485393853000.0
2018,20544343456936.5
2019,
